Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
CUS_0x1063,Sylvia Westallq,"19,625",883-38-8680,Architect,"128698,76","10628,8966666667",7,5,10,4,"Personal Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan","9,125","16,1666666666667","10,67",11,Standard,"583,11","34,2003562413753","16,6428571428571",Yes,"251,612782056361","271,975311270971",High_spent_Large_value_payments,"795,33246318123",1
CUS_0x1069,Andreas Cremero,32,761-27-5143,Accountant,"58637,34","4799,445",4,6,10,3,"Personal Loan, Auto Loan, and Not Specified","8,375","17,625","11,685",5,Standard,"208,8","31,0834734054443","30,375",Yes,"139,885013392711","177,954462752561",High_spent_Medium_value_payments,"355,715433972694",1
CUS_0x106f,Alwyn Scottk,"54,375",517-96-1022,Developer,"134035,08","11102,59",0,5,10,2,"Home Equity Loan, and Mortgage Loan",3,"7,375","9,60571428571429",6,Good,"767,91","37,7996864825719","24,625",No,"316,843198856791","583,183497729034",High_spent_Medium_value_payments,"656,909449069713",2
CUS_0x1075,Dorfmanv,"38,25",225-94-8383,Manager,"24709,33","2009,78977556751",5,5,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan","26,5","10,625",7,1,Good,"413,18","31,8701653386423","17,5833333333333",No,"119,706103832934","115,161936857526",Low_spent_Small_value_payments,"328,46749171883",0
CUS_0x107c,Karenh,"14,25",712-17-7369,Journalist,"49718,55","4179,2125",7,10,27,6,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan","27,125","16,7142857142857","6,125",7,Bad,"1920,25","32,8594619277307","13,7142857142857",Yes,"231,956780645031","185,886209266204",High_spent_Medium_value_payments,"256,328260088766",0
CUS_0x107e,Lianaj,"14,25",463-69-6790,Architect,"75095,91","6269,9925",5,6,15,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan","8,75","9,625","15,155",8,Standard,"989,71","32,1147969674768","11,7083333333333",Yes,"261,84240871271","300,6127437155",High_spent_Large_value_payments,"317,476444975964",1
CUS_0x1087,Alistairy,51,620-14-7570,Doctor,"42153,13","3377,76083333333",5,4,10,3,"Payday Loan, Not Specified, and Payday Loan","9,125","10,375","4,81","5,5",Good,"1027,64","30,7511399052161","28,125",No,"79,2996114595878","183,991869277994",Low_spent_Small_value_payments,"365,809633652452",1
CUS_0x108a,Silvial,38,394-00-8142,Journalist,"36982,36","2627,39939757637",7,9,21,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan","15,75","15,25","24,61","13,75",Bad,"4882,12","31,8399161017934","7,45833333333333",Yes,"390,907174599347","189,997041867209",High_spent_Medium_value_payments,"159,269249411588",1
CUS_0x1096,Edward Krudyk,"42,625",228-65-4194,Lawyer,"12931,56","1348,63",4,4,9,3,"Not Specified, Debt Consolidation Loan, and Home Equity Loan","19,125","19,875","18,51",3,Standard,"752,86","28,4221996398947","21,0119047619048",Yes,"20,5791547084859","85,0903387594842",Low_spent_Small_value_payments,"309,19350653203",0
CUS_0x1098,Krudyz,"22,25",466-10-5742,Musician,"20652,98","1468,08166666667",7,5,21,2,"Auto Loan, and Payday Loan","22,5",13,"14,205",8,Standard,"1859,53","32,1674707644725","18,625",Yes,"33,2383562399596","69,0872625848351",Low_spent_Medium_value_payments,"327,587776229861",0
CUS_0x109b,Gillesy,55,661-04-3699,Manager,"31641,93","2610,8275",4,6,7,3,"Personal Loan, Student Loan, and Personal Loan","24,875",12,"9,245",1,Standard,"583,6","31,965188472407","20,125",No,"60,3362992651911","127,298150474518",High_spent_Medium_value_payments,"334,849629281682",1
CUS_0x109d,Langep,"44,8571428571429",260-21-1290,Writer,"49140,87","4377,0725",10,6,27,6,"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan","35,625","18,125","16,41",11,Bad,"2950,8","30,4840524650423","6,25",Yes,"154,172426325173","186,142329712472",High_spent_Small_value_payments,"356,660544510635",1
CUS_0x109f,Vellacottj,"40,5714285714286",283-32-0255,Teacher,"130435,86","10623,655",4,6,9,2,"Home Equity Loan, and Home Equity Loan","16,375","0,833333333333333","11,1",0,Good,"942,71","33,2376517734523","29,6547619047619",No,"188,186133221512","514,896991788073",Low_spent_Medium_value_payments,"579,895229488135",0
CUS_0x10a9,ini Kristenr,41,514-08-4156,Journalist,"17603,265","1393,60782612071",8,6,4,0,,9,"9,33333333333333","7,52",4,Standard,"836,66","31,1776838812096","15,4583333333333",No,"38,6222893642027","85,6258146213083",Low_spent_Small_value_payments,"333,043288224494",1
CUS_0x10aa,Carey Gillama,"19,75",101-00-4424,Musician,"114432,03","9272,0025",1,2,7,0,,"9,375","9,625","11,605",4,Good,"444,51","36,3849810974189","21,25",No,0,"317,838362572954",High_spent_Medium_value_payments,"814,505456219177",2
CUS_0x10ac,Zhouy,"28,75",780-50-4730,Developer,"16718,645","1270,22041666667",7,3,15,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan","25,875","11,4285714285714","11,825","0,625",Standard,"853,41","32,3681068980131","15,9583333333333",No,"50,9619359000891","65,8792310494559",Low_spent_Large_value_payments,"286,459934255865",2
CUS_0x10b3,Johnsona,48,293-45-3004,Mechanic,"136150,6","11127,8833333333",1,5,9,3,"Student Loan, Student Loan, and Auto Loan","8,375","0,428571428571429","10,97",3,Good,"260,29","35,0543326010616","27,0416666666667",NM,"177,654072182477","522,454506422516",High_spent_Large_value_payments,"814,905750520465",2
CUS_0x10b6,Gillesw,"48,125",439-76-5364,Journalist,"23627,63","1712,96916666667",7,3,19,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,"12,4285714285714","1,23",1,Standard,"277,93","33,5240784424389","18,0416666666667",No,"37,996378127525","84,4419447543299",High_spent_Small_value_payments,"310,691021154285",1
CUS_0x10bb,Chyenf,35,075-30-4340,Journalist,"60830,92","5044,24333333333",0,1,11,4,"Payday Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",14,"3,375","8,285",0,Good,"133,63","32,2354137620187","23,5833333333333",No,"159,799346999144","201,981899714905",High_spent_Large_value_payments,"408,352063234148",2
CUS_0x10c0,Scheyderx,"38,5",658-53-1756,Architect,"49454,13","4328,1775",8,5,23,2,"Payday Loan, and Auto Loan","59,125","24,625","5,325",8,Bad,"1388,56","32,0134238198108","13,0416666666667",Yes,"73,3463594495747","218,333682321657",High_spent_Medium_value_payments,"415,880254225349",0
CUS_0x10c5,Moony,24,041-74-6785,Entrepreneur,"158623,16","13180,5966666667",2,7,10,1,Payday Loan,10,"5,28571428571429","6,54",0,Good,"1134,83","35,2168037471571","29,875",No,"91,0339049796171","732,5219040998",Low_spent_Medium_value_payments,"829,110279362188",1
CUS_0x10d7,Sinead Carewm,39,289-56-9714,Developer,"15968,14","1380,67833333333",7,7,21,9,"Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, and Personal Loan","37,625","19,625","16,885","13,5",Bad,"4912,8","30,1128476193899","12,0833333333333",Yes,"77,9971182164606","93,0582566390576",Low_spent_Small_value_payments,"243,736449139433",0
CUS_0x10dd,Praveen Menonq,"24,8571428571429",907-60-4113,Teacher,"105645,6","9090,8","4,375","3,375",5,4,"Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan","27,875","18,5714285714286","2,41","2,125",Standard,"1336,91","32,7995131833399","21,0357142857143",No,"315,406100644141","377,219023792638",High_spent_Small_value_payments,"586,786135179674",1
CUS_0x10df,Paritosh Bansalo,27,279-20-3097,Musician,"9929,235","828,43625",4,8,23,3,"Not Specified, Auto Loan, and Student Loan","13,625","17,375","11,5","13,5",Standard,"2328,08","30,3159242824607","6,875",Yes,"195,355845636613","52,958633010484",High_spent_Small_value_payments,"282,908014038979",0
CUS_0x10e2,Sonalio,37,168-78-3262,Media_Manager,"43133,85","3432,4875",10,10,31,7,"Personal Loan, Auto Loan, Not Specified, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan","41,75","23,1666666666667","6,91","10,75",Bad,"2504,1","31,4665545403904","10,4583333333333",Yes,"151,287254975493","181,956370882255",Low_spent_Small_value_payments,"277,505124142252",0
CUS_0x10e7,Carewj,19,094-89-6380,Engineer,"64933,76","5368,14666666667",3,3,33,4,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan","15,625","19,375","17,915","6,71428571428571",Standard,"2699,17","29,5038278483931","14,0694444444444",Yes,"193,692582088778","237,914573917423",High_spent_Large_value_payments,"367,196730225551",0
CUS_0x10eb,Yaob,"50,5",647-01-5481,Journalist,"28315,95","2415,6625",4,7,10,2,"Student Loan, and Payday Loan","7,125","7,42857142857143","10,59",4,Good,"677,4","34,339063123645","20,125",No,"30,2309962716402","121,4295873757",High_spent_Medium_value_payments,"354,90566635266",2
CUS_0x10ee,Hudsonb,"29,75",699-80-2426,Journalist,"12660,16","909,013333333333",5,7,15,0,,"10,75","14,125","9,725",2,Standard,"456,02","30,2353221343874","25,0357142857143",No,0,"60,0362580647462",Low_spent_Small_value_payments,"310,538807952711",1
CUS_0x10f9,Gilles Guillaumev,"53,7142857142857",746-79-6875,Lawyer,"150131,68","12383,4250459622",5,1,4,0,,"7,75","0,857142857142857","10,365",0,Good,"1138,36","39,9452802754735","31,625",No,"186,85475144971","419,201632151807",High_spent_Large_value_payments,"1092,99570118153",2
CUS_0x10fd,Hendersonu,29,119-33-7350,Developer,"39576,59","3199,04916666667",0,7,2,4,"Personal Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan","14,125","3,85714285714286","5,84","1,5",Good,"226,37","30,8416224129519","19,6309523809524",No,"124,31083909356","134,457265536398",High_spent_Large_value_payments,"321,136812036709",0
CUS_0x10ff,Murait,36,149-03-5931,Accountant,"16341,075","1292,75625",4,4,6,2,"Auto Loan, and Student Loan",7,20,"10,4871428571429",2,Standard,"684,05","32,4144535605284","16,875",No,"16,9604604617571","129,420244066643",Low_spent_Small_value_payments,"263,595983967463",1
CUS_0x1100,Kaorif,"21,5",545-19-6617,Accountant,"43062,54","3607,545",6,10,23,2,"Mortgage Loan, and Student Loan",55,"20,2857142857143","19,675",11,Standard,"2169,75","30,9461327047992","14,9285714285714",Yes,"47,4998187416124","88,2605282239533",High_spent_Medium_value_payments,"476,244153034434",0
CUS_0x1107,Felsenthalv,"30,625",118-70-6277,Writer,"28952,76","2338,73",7,9,21,8,"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified","39,125","24,2857142857143","2,46","13,5",Bad,"2717,85","34,3021101430368","0,888888888888889",Yes,"155,779989011442","148,277728841438",Low_spent_Small_value_payments,"201,06528214712",0
CUS_0x1108,en Klaymano,25,183-66-5001,Accountant,"117499,47","9780,6225",4,5,8,0,,"11,125","7,75","8,07","3,42857142857143",Good,"337,9","35,961995728884","30,3690476190476",No,0,"410,139585914608",Low_spent_Medium_value_payments,"829,172664085392",1
CUS_0x1109,Karen Freifeldf,"42,25",410-39-6091,Lawyer,"76284,72","6451,06",6,10,18,6,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan","23,75",11,"10,9757142857143","10,5",Standard,"1957,32","31,7286547673402","19,8611111111111",Yes,"222,959002284943","118,621792754164",High_spent_Large_value_payments,"492,275711090177",0
CUS_0x1119,Carlozoy,"35,5714285714286",596-61-5235,Entrepreneur,"56301,9","4593,825",9,5,26,2,"Not Specified, and Not Specified","16,125","18,25","15,48","10,4285714285714",Standard,"2161,23","33,1999620373721","14,2083333333333",Yes,"50,1193480873719","208,723799664096",High_spent_Medium_value_payments,"464,289352248533",0
CUS_0x111b,Poornima Guptab,40,880-90-6663,Manager,"70277,22","5633,435",3,6,7,3,"Not Specified, Not Specified, and Home Equity Loan","4,375","11,4285714285714","10,175","5,5",Good,"762,48","34,2508095144015","20,2222222222222",No,"149,934106412345","217,838628264589",High_spent_Large_value_payments,"467,252341813664",1
CUS_0x111c,Deepaa,"23,875",420-66-8144,Journalist,"71809,76","6168,14666666667",7,7,17,8,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Personal Loan","52,125","15,125","2,81",7,Bad,"4439,92","32,4780198937881","6,61904761904762",Yes,"297,917684030006","226,061775001413",High_spent_Large_value_payments,"350,335207635248",0
CUS_0x1123,Suzannep,15,917-49-8240,Writer,"15264,98","1266,08166666667",6,5,34,3,"Home Equity Loan, Credit-Builder Loan, and Auto Loan","26,125","15,2857142857143","9,43",13,Bad,"2375,88","30,3046338040215","8,54166666666667",Yes,"36,7900967112045","75,3448539812633",Low_spent_Small_value_payments,"286,973215974199",0
CUS_0x112d,James Daveyt,22,774-29-5843,Accountant,"14728,21","1480,35083333333",10,9,31,5,"Payday Loan, Personal Loan, Not Specified, Not Specified, and Personal Loan","47,875","10,375","9,27","6,375",Standard,"2390,37","29,2608623883336","16,625",Yes,"41,585651279548","113,252287988853",Low_spent_Small_value_payments,"279,197164641007",0
CUS_0x112e,Sanog,"31,125",981-03-7949,Mechanic,"20162,26","1872,18833333333",8,4,11,4,"Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan","13,25","9,42857142857143","1,71",2,Standard,"660,26","32,4451410371632","19,5",No,"66,244881724104","124,1737511502",Low_spent_Small_value_payments,"270,55020045903",1
CUS_0x112f,Ju-minv,"20,625",294-20-6562,Mechanic,"75506,42","6050,20166666667",1,4,5,1,Auto Loan,"0,625","2,5","3,44","5,75",Good,"1069,19","30,8897504148689","23,375",No,"60,903643233171","403,612840027675",Low_spent_Small_value_payments,"374,336204532831",0
CUS_0x1130,Elizabethr,37,846-60-3664,Journalist,"137798,88","10774,5332572073",6,5,13,0,,"23,25","13,25","9,625",2,Standard,"1056,3","36,7079586806853","27,1666666666667",No,"617,780057094511","447,273318608286",High_spent_Large_value_payments,"942,409721659789",2
CUS_0x1132,Jonathano,39,152-95-7926,Mechanic,"46268,4","3983,7",5,4,20,4,"Student Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan","28,125","17,4285714285714","9,33","7,25",Standard,"1447,57","28,2564643795007","13,7083333333333",Yes,"103,778050090147","221,119676070183",Low_spent_Large_value_payments,"346,789624922013",0
CUS_0x1134,Stt,"48,125",964-85-7634,Doctor,"15279,545","1524,57788277005",0,5,8,3,"Credit-Builder Loan, Mortgage Loan, and Debt Consolidation Loan","1,5","3,875","6,99","4,375",Good,"168,35","31,236210922166","30,6111111111111",No,"70,6013295283385","90,4556705040914",Low_spent_Small_value_payments,"314,914104181854",2
CUS_0x1135,Baertleinc,22,897-95-1425,Journalist,"83358,3","6896,525",5,3,5,3,"Auto Loan, Not Specified, and Auto Loan",6,"5,66666666666667","2,495","6,5",Good,"727,88","32,0305137035661","30,5166666666667",No,"169,936004781247","230,806716347346",Low_spent_Medium_value_payments,"551,409778871407",2
CUS_0x1136,Stevenk,"21,875",894-06-9872,Entrepreneur,"37360,94","2864,41166666667",10,5,33,5,"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Not Specified",43,"11,7142857142857","9,89",11,Standard,"1271,23","32,3833931841192","11,5416666666667",NM,"93,3417465671605","144,438603493308",Low_spent_Small_value_payments,"290,690269859174",0
CUS_0x1138,Prodhanx,"43,75",832-92-6672,Lawyer,"154868,24","13051,6866666667",2,5,10,0,,"14,625","3,42857142857143","3,66","4,5",Good,"242,75","35,0471987316815","29,6388888888889",No,0,"596,714947959328",High_spent_Large_value_payments,"1008,89257882177",0
CUS_0x1139,Copleyp,32,952-67-5462,Scientist,"94991,82","8144,985",7,6,13,0,,"17,625","18,625","21,0214285714286",6,Standard,"1320,61","30,5324250108048","26,1666666666667",Yes,0,"384,631024943831",High_spent_Large_value_payments,"694,867475056169",1
CUS_0x113e,Ransdell Piersono,"44,25",542-14-0249,Manager,"34476,68","2715,05666666667",6,7,24,8,"Personal Loan, Student Loan, Personal Loan, Mortgage Loan, Student Loan, Not Specified, Auto Loan, and Debt Consolidation Loan","36,5",17,"5,105",11,Bad,"1976,63","33,1454790194814","11,2083333333333",Yes,"171,175758906455","155,98774051722",Low_spent_Large_value_payments,"208,494068998737",0
CUS_0x1140,Jennifer Sabal,"30,75",141-17-2233,Accountant,"7621,8","914,15",6,10,28,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Payday Loan, and Auto Loan","17,75","18,8571428571429","28,8671428571429","13,4285714285714",Bad,"4128,98","31,8046629652016","6,65277777777778",Yes,"24,9062633623497","57,0827496117563",Low_spent_Small_value_payments,"284,89027398004",1
CUS_0x1144,Douwet,42,720-70-0565,Doctor,"135851,24","11418,9366666667",4,4,18,2,"Home Equity Loan, and Auto Loan","28,75","18,4","11,065","10,5",Standard,"695,12","36,9988352197721","24,8690476190476",Yes,"206,557193623807","404,462573431266",High_spent_Large_value_payments,"782,123899611594",1
CUS_0x1145,Blenkinsopr,"23,125",426-31-9194,Teacher,"17975,32","1444,94333333333",6,5,32,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,"25,125","8,9","11,875",Bad,"1263,1","34,733663950572","12,125",Yes,"76,450324587172","118,044435363085",Low_spent_Small_value_payments,"229,999573383077",0
CUS_0x114a,Valetkevitchu,"42,5",133-89-5234,Developer,"15305,46","1230,455",0,7,2,2,"Student Loan, and Home Equity Loan","14,125","2,28571428571429","10,7",0,Good,"642,42","34,3329559650163","15,4583333333333",No,"20,3016538684394","98,9797217155408",Low_spent_Small_value_payments,"298,721167193497",1
CUS_0x114b,Hephero,"36,75",978-19-7269,Entrepreneur,"107118,96","9104,58",5,7,5,3,"Payday Loan, Auto Loan, and Not Specified","23,625","8,875","6,115","1,5",Standard,"1049,33","30,5748526788139","30,5357142857143",Yes,"139,565989835908","385,931248250933",High_spent_Medium_value_payments,"647,460761913159",1
CUS_0x1151,Hopkinsv,"40,75",587-07-3210,Journalist,"17692,27","1335,35583333333",6,5,29,6,"Payday Loan, Auto Loan, Home Equity Loan, Auto Loan, Personal Loan, and Auto Loan","35,625",24,"27,5485714285714","8,42857142857143",Bad,"3762,64","29,6429362567491","11,125",Yes,"78,4472348823678","91,0924990838474",Low_spent_Medium_value_payments,"242,408112462587",0
